TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
220481179,13.621,0.005918121,3185,0.253379,1.65495,0.0165495,1.17E+33,0.83595,0.210721241
220513299,13.139,0.024540666,3173,0.519877,1.07085,0.0107085,2.01E+33,0.08259,0.362637434
220522527,13.5412,0.00787357,3222,0.285583,0.963198,0.00963198,8.60E+32,0.15896,0.234980556
220523369,11.9752,0.021526795,3276,0.456772,1.291095,0.01291095,3.29E+33,0.11645,0.344947032
220539110,10.0339,0.065690031,3538,0.684119,0.773578,0.00773578,2.53E+33,0.05531,0.52806058
220556639,11.4982,0.034780238,3254,0.588476,0.594979,0.00594979,2.76E+33,0.08338,0.414263366
220558700,13.3392,0.014268209,3190,0.392194,0.968322,0.00968322,1.10E+33,0.08569,0.294836126
224225152,10.4635,0.020053274,3350,0.4216,3.500855,0.03500855,6.11E+32,0.02606,0.335736798
224283342,12.2857,0.010158522,3165,0.336175,0.887345,0.00887345,9.47E+32,0.02959,0.258981132
228507309,11.7407,0.027275136,3302,0.506089,0.369727,0.00369727,1.44E+33,0.06105,0.377558544
228570067,11.9297,0.011245573,3335,0.318564,4.66781,0.0466781,2.15E+32,0.03273,0.269227658
229105380,14.2538,0.004731759,3118,0.236405,2.889594,0.02889594,1.12E+33,0.23083,0.193474565
229141941,12.2161,0.014346665,3278,0.372439,1.64004,0.0164004,7.10E+32,0.07274,0.295453853
229142295,11.1831,0.006119318,3131,0.266614,0.447387,0.00447387,2.17E+32,0.03192,0.21342731
229147247,12.8488,0.006529124,2950,0.310228,0.29306,0.0029306,1.34E+32,0.04208,0.218773634
229147922,12.2264,0.011692593,3225,0.347371,1.022722,0.01022722,1.18E+33,0.19837,0.273263244
229147927,10.6086,0.045115091,3623,0.540657,4.551111,0.04551111,2.99E+33,0.04305,0.457511709
229807000,10.7988,0.045707135,3453,0.599096,0.374433,0.00374433,2.34E+33,0.06699,0.459794044
229807051,12.5024,0.011780213,3164,0.362244,1.022722,0.01022722,2.39E+33,0.18222,0.274043018
230982053,12.1364,0.014852273,3174,0.404185,0.711111,0.00711111,4.55E+33,0.66073,0.299385573
231017428,9.60304,0.033174289,3530,0.48837,3.034074,0.03034074,5.92E+32,0.01987,0.406855599
